"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"226","Agreement between the Government of the Kingdom of Norway and the Government of the French Republic concerning Norsk Hydro-Elektrisk Kvoelstofaktieselskab (Norwegian Nitrogen and Hydro-Electric Power Company)","France, Norway*","15 July 1947",1948-04-30,"Energy","Bilateral","15 (p.5)",1947-07-15,1948,4,30,1947,7,15,"Oslo",1947-07-15,1947,7,15,NA,NA,NA,NA,NA
"231","Agreement concerning air communications between the Government of the Republic of Poland and the Government of the Hungarian Republic","Hungary, Poland*","13 December 1947 , in accordance with article 19",1948-06-02,"Transport, Aviation","Bilateral","15 (p.145)",1947-12-13,1948,6,2,1947,12,13,"Budapest",1947-08-28,1947,8,28,NA,NA,NA,NA,NA
"230","Agreement concerning cultural co-operation between the Republic of Poland and the Bulgarian People's Republic","Bulgaria, Poland*","12 January 1948 by the exchange of the instruments of ratification, in accordance with article 11",1948-06-02,"Cultural matters, Cooperation","Bilateral","15 (p.123)",1948-01-12,1948,6,2,1948,1,12,"Warsaw",1947-06-28,1947,6,28,NA,NA,NA,NA,NA
"233","Agreement concerning Payments between Norway and Sweden in 1947","Norway*, Sweden","1 January 1947 , in accordance with article 9",1948-06-07,"Payments","Bilateral","15 (p.171)",1947-01-01,1948,6,7,1947,1,1,"Stockholm",1946-11-22,1946,11,22,NA,NA,NA,NA,NA
"235","Agreement concerning settlement of payments between the Kingdom of Norway and the Republic of Austria","Austria, Norway*","14 April 1947 by signature, in accordance with article VI",1948-06-07,"Payments","Bilateral","15 (p.211)",1947-04-14,1948,6,7,1947,4,14,"Prague",1947-04-14,1947,4,14,NA,NA,NA,NA,NA
"239","Air Transport Agreement between the United States of America and Greece","Greece, United States of America*","27 March 1946 by signature and definitively on 22 May 1947 by notification",1948-06-21,"Transport, Aviation","Bilateral","15 (p.233)",1946-03-27,1948,6,21,1946,3,27,"Athens",1946-03-27,1946,3,27,NA,NA,NA,NA,NA
"102","Convention on International Civil Aviation","Afghanistan, Algeria, Argentina, Australia, Austria, Bahrain, Barbados, Belgium, Bolivia, Brazil, Bulgaria, Burma, Burundi, Cambodia, Cameroon, Canada, Central African Republic, Ceylon, Chad, Chile, China, Colombia, Congo (Brazzaville), Congo (Leopoldville), Costa Rica, Cuba, Cyprus, Czechoslovakia, Dahomey, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Ethiopia, Federal Republic of Germany, Federation of Malaya, Federation of Malaya, Finland, France, Ghana, Greece, Guatemala, Guatemala, Guatemala, Guinea, Guyana, Haiti, Honduras, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Ivory Coast, Jamaica, Japan, Kenya, Korea, Kuwait, Laos, Lebanon, Liberia, Libya, Luxembourg, Madagascar, Malawi, Malaysia, Mali, Malta, Marshall Islands, Mauritania, Mauritius, Mexico, Micronesia, Morocco, Nepal, Netherlands, New Zealand, Nicaragua, Niger, Nigeria, Norway, Pakistan, Panama, Paraguay, Peru, Philippines, Poland, Portugal, Qatar, Republic of China, Republic of China, Romania, Rwanda, Saudi Arabia, Senegal, Siam, Sierra Leone, Singapore, Somalia, Southern Yemen, Spain, Sudan, Sweden, Switzerland, Syria, Tanganyika, Togo, Transjordan, Trinidad and Tobago, Tunisia, Turkey, Uganda, Union of South Africa, Union of Soviet Socialist Republics, United Arab Emirates, United Kingdom of Great Britain and Northern Ireland, United States of America, Upper Volta, Uruguay, Venezuela, Viet Nam, Yemen Arab Republic, Yugoslavia (Socialist Federal Republic of), Yugoslavia (Socialist Federal Republic of), Zambia","4 April 1947 , in accordance with article 91(b)",1948-04-19,"Civil matters, International Civil Aviation Organization (ICAO), Charters-Constitutions-Statutes, Transport, Aviation","Multilateral","15 (p.295)",1947-04-04,1948,4,19,1947,4,4,"Chicago",1944-12-07,1944,12,7,NA,NA,NA,NA,NA
"225","Declaration of acceptance of the obligations contained in the Charter of the United Nations","Burma","19 March 1948",1948-04-19,"United Nations (UN), Charters-Constitutions-Statutes, Legal matters","Multilateral","15 (p.3)",1948-03-19,1948,4,19,1948,3,19,"NewYork",1948-03-17,1948,3,17,NA,NA,NA,NA,NA
"237","Declaration recognizing as compulsory the jurisdiction of the Court, in conformity with Article 36, paragraph 2, of the Statue of the International Court of Justice","Brazil","12 March 1948",1948-06-17,"Judicial matters, International Court of Justice (ICJ), ICJ jurisdiction","Multilateral","15 (p.221)",1948-03-12,1948,6,17,1948,3,12,"RiodeJaneiro",1948-02-12,1948,2,12,NA,NA,NA,NA,NA
"236","Declaration recognizing as compulsory the jurisdiction of the International Court of Justice, in conformity with Article 36, paragraph 2, of the Statute of the International Court of Justice","Honduras","10 February 1948",1948-06-17,"Judicial matters, International Court of Justice (ICJ), ICJ jurisdiction","Multilateral","15 (p.217)",1948-02-10,1948,6,17,1948,2,10,"Tegucigalpa",1948-02-02,1948,2,2,NA,NA,NA,NA,NA
"241","Exchange of Notes constituting an agreement amending the agreement of 13 September 1941 between the United States of America and Haïti relating to Haitian finance","Haiti, United States of America*","30 September 1946 by the exchange of the said notes",1948-06-21,"Finance","Bilateral","15 (p.257)",1946-09-30,1948,6,21,1946,9,30,"Port-au-Prince",1946-09-30,1946,9,30,NA,NA,NA,NA,NA
"104","Exchange of notes constituting an agreement between the United States of America and the United Kingdom relating to claims for damages resulting from acts of armed forces personnel","United Kingdom of Great Britain and Northern Ireland, United States of America*","28 March 1944 by the exchange of the said notes",1948-06-21,"Military matters, Claims-Debts","Bilateral","15 (p.413)",1944-03-28,1948,6,21,1944,3,28,"London",1944-03-28,1944,3,28,"London",1944-02-29,1944,2,29
"228","Exchange of notes between the New Zealand Government and the Government of the French Republic concerning the mutual abolition of visas","France, New Zealand*","1 December 1947 , in accordance with the provisions of the said notes",1948-05-21,"Passports","Bilateral","15 (p.30)",1947-12-01,1948,5,21,1947,12,1,"Wellington",1947-11-22,1947,11,22,NA,NA,NA,NA,NA
"236","Declaration recognizing as compulsory the jurisdiction of the International Court of Justice, in conformity with Article 36, paragraph 2, of the Statute of the International Court of Justice","Honduras","10 February 1948",1948-06-17,"Judicial matters, International Court of Justice (ICJ), ICJ jurisdiction","Multilateral","15 (p.217)",1948-02-10,1948,6,17,1948,2,10,"Tegucigalpa",1948-02-02,1948,2,2,NA,NA,NA,NA,NA
"237","Declaration recognizing as compulsory the jurisdiction of the Court, in conformity with Article 36, paragraph 2, of the Statue of the International Court of Justice","Brazil","12 March 1948",1948-06-17,"Judicial matters, International Court of Justice (ICJ), ICJ jurisdiction","Multilateral","15 (p.221)",1948-03-12,1948,6,17,1948,3,12,"RiodeJaneiro",1948-02-12,1948,2,12,NA,NA,NA,NA,NA
"225","Declaration of acceptance of the obligations contained in the Charter of the United Nations","Burma","19 March 1948",1948-04-19,"United Nations (UN), Charters-Constitutions-Statutes, Legal matters","Multilateral","15 (p.3)",1948-03-19,1948,4,19,1948,3,19,"NewYork",1948-03-17,1948,3,17,NA,NA,NA,NA,NA
