"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"641","Cultural Convention between Belgium and Italy","Belgium*, Italy","23 June 1949 by the exchange of the instruments of ratification, in accordance with article 14",1949-09-19,"Cultural matters","Bilateral","41 (p.3)",1949-06-23,1949,9,19,1949,6,23,"Brussels",1948-11-29,1948,11,29,NA,NA,NA,NA,NA
"642","Exchange of letters constituting a supplementary agreement between the Governments of Belgium and Luxembourg to the Agreement concluded by an exchange of letters dated Brussels, 17 and 28 April 1945, on the re-establishment of the freedom of movement of persons","Belgium*, Luxembourg","1 August 1949 by the exchange of the said letters",1949-09-19,"Tourism, Finance","Bilateral","41 (p.13)",1949-08-01,1949,9,19,1949,8,1,"Brussels",1949-07-15,1949,7,15,NA,NA,NA,NA,NA
"181","Exchange of notes constituting an agreement between the Governments of Belgium and Luxembourg on the re-establishment of the freedom of movement of persons","Belgium*, Luxembourg","18 April 1945 by the exchange of the said notes",1949-09-19,"Tourism, Transport, Finance","Bilateral","41 (p.265)",1945-04-18,1949,9,19,1945,4,18,"Brussels",1945-04-28,1945,4,28,"Brussels",1945-04-17,1945,4,17
"643","Treaty of peace with Bulgaria","Australia, Bulgaria, Byelorussian Soviet Socialist Republic, Czechoslovakia, Greece, India, New Zealand, Union of South Africa, Union of Soviet Socialist Republics, United Kingdom of Great Britain and Northern Ireland, United States of America*, Yugoslavia (Socialist Federal Republic of)","15 September 1947 , in accordance with article 38",1949-09-21,"Peace","Multilateral","41 (p.21)",1947-09-15,1949,9,21,1947,9,15,"Paris",1947-02-10,1947,2,10,NA,NA,NA,NA,NA
"644","Treaty of peace with Hungary","Australia, Byelorussian Soviet Socialist Republic, Canada, Czechoslovakia, India, New Zealand, Union of South Africa, Union of Soviet Socialist Republics, United Kingdom of Great Britain and Northern Ireland, United States of America*, Yugoslavia (Socialist Federal Republic of)","15 September 1947 , in accordance with article 42",1949-09-21,"Peace","Multilateral","41 (p.135)",1947-09-15,1949,9,21,1947,9,15,"Paris",1947-02-10,1947,2,10,NA,NA,NA,NA,NA
