"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"355","Agreement between the Government of the United States of America and the Government of Burma for the use of funds made available in accordance with the agreement regarding settlement for surplus property, signed at London on 28 February 1947","Burma, United States of America*","22 December 1947 by signature, in accordance with article 16",1949-01-19,"Property matters, Finance","Bilateral","25 (p.27)",1947-12-22,1949,1,19,1947,12,22,"Rangoon",1947-12-22,1947,12,22,NA,NA,NA,NA,NA
"363","Agreement between the Republic of Poland and the Czechoslovak Republic concerning air communications","Czechoslovakia, Poland*","13 November 1947 by the exchange of the instruments of ratification, in accordance with articles",1949-01-28,"Transport, Aviation","Bilateral","25 (p.181)",1947-11-13,1949,1,28,1947,11,13,"Prague",1946-01-24,1946,1,24,NA,NA,NA,NA,NA
"364","Agreement between the Republic of Poland and the Czechoslovak Republic concerning the mutual return of property removed after the outbreak of war","Czechoslovakia, Poland*","12 February 1946 by signature, in accordance with article 9",1949-01-28,"Claims-Debts, Property matters","Bilateral","25 (p.207)",1946-02-12,1949,1,28,1946,2,12,"Prague",1946-02-12,1946,2,12,NA,NA,NA,NA,NA
"366","Agreement on cultural co-operation between the Republic of Poland and the Czechoslovak Republic","Czechoslovakia, Poland*","2 July 1948 by the exchange of the instruments of ratification, in accordance with article 10",1949-01-28,"Cultural matters, Cooperation","Bilateral","25 (p.249)",1948-07-02,1949,1,28,1948,7,2,"Prague",1947-07-04,1947,7,4,NA,NA,NA,NA,NA
"369","Convention on economic co-operation and Agreement on the application of the said convention between the Republic of Poland and the Republic of Hungary","Hungary, Poland*","6 September 1948 by the exchange of the instruments of ratification, in accordance with article VII",1949-01-28,"Economic matters, Cooperation","Bilateral","25 (p.301)",1948-09-06,1949,1,28,1948,9,6,"Budapest",1948-05-13,1948,5,13,NA,NA,NA,NA,NA
"368","Cultural Convention between the Republic of Poland and the Republic of Hungary","Hungary, Poland*","6 October 1948 , in accordance with article 12",1949-01-28,"Cultural matters","Bilateral","25 (p.283)",1948-10-06,1949,1,28,1948,10,6,"Budapest",1948-01-31,1948,1,31,NA,NA,NA,NA,NA
"371","Exchange of notes constituting an agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Denmark extending the application of the Anglo-Danish Monetary Agreement of 16 August 1945 to the Faroe Islands","Denmark*, United Kingdom of Great Britain and Northern Ireland","10 November 1948 by the exchange of the said notes",1949-01-31,"Monetary matters","Bilateral","25 (p.333)",1948-11-10,1949,1,31,1948,11,10,"London",1948-11-11,1948,11,11,"London",1948-11-10,1948,11,10
"361","Exchange of Notes constituting an agreement between the Governments of Australia and of Belgium relating to the release of Belgian assets held under control in Australia","Australia*, Belgium","9 December 1948 by the exchange of the said notes",1949-01-25,"Claims-Debts, Property matters","Bilateral","25 (p.159)",1948-12-09,1949,1,25,1948,12,9,"Canberra",1948-12-09,1948,12,9,NA,NA,NA,NA,NA
"357","Exchange of Notes constituting an agreement between the United States of America and Austria relating to the application of most-favoured-nation treatment to the merchandise trade of certain areas under occupation or control","Austria, United States of America*","2 July 1948 by the exchange of the said notes",1949-01-19,"Trade","Bilateral","25 (p.53)",1948-07-02,1949,1,19,1948,7,2,"Vienna",1948-07-02,1948,7,2,NA,NA,NA,NA,NA
"356","Exchange of Notes constituting an agreement between the United States of America and Italy relating to the application of most-favoured-nation treatment to the merchandise trade of certain areas under occupation or control","Italy, United States of America*","28 June 1948 by the exchange of the said notes",1949-01-19,"Trade","Bilateral","25 (p.45)",1948-06-28,1949,1,19,1948,6,28,"Rome",1948-06-28,1948,6,28,NA,NA,NA,NA,NA
"361","Exchange of Notes constituting an agreement between the Governments of Australia and of Belgium relating to the release of Belgian assets held under control in Australia","Australia*, Belgium","9 December 1948 by the exchange of the said notes",1949-01-25,"Claims-Debts, Property matters","Bilateral","25 (p.159)",1948-12-09,1949,1,25,1948,12,9,"Canberra",1948-12-09,1948,12,9,NA,NA,NA,NA,NA
"371","Exchange of notes constituting an agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Denmark extending the application of the Anglo-Danish Monetary Agreement of 16 August 1945 to the Faroe Islands","Denmark*, United Kingdom of Great Britain and Northern Ireland","10 November 1948 by the exchange of the said notes",1949-01-31,"Monetary matters","Bilateral","25 (p.333)",1948-11-10,1949,1,31,1948,11,10,"London",1948-11-11,1948,11,11,"London",1948-11-10,1948,11,10
"368","Cultural Convention between the Republic of Poland and the Republic of Hungary","Hungary, Poland*","6 October 1948 , in accordance with article 12",1949-01-28,"Cultural matters","Bilateral","25 (p.283)",1948-10-06,1949,1,28,1948,10,6,"Budapest",1948-01-31,1948,1,31,NA,NA,NA,NA,NA
"369","Convention on economic co-operation and Agreement on the application of the said convention between the Republic of Poland and the Republic of Hungary","Hungary, Poland*","6 September 1948 by the exchange of the instruments of ratification, in accordance with article VII",1949-01-28,"Economic matters, Cooperation","Bilateral","25 (p.301)",1948-09-06,1949,1,28,1948,9,6,"Budapest",1948-05-13,1948,5,13,NA,NA,NA,NA,NA
"366","Agreement on cultural co-operation between the Republic of Poland and the Czechoslovak Republic","Czechoslovakia, Poland*","2 July 1948 by the exchange of the instruments of ratification, in accordance with article 10",1949-01-28,"Cultural matters, Cooperation","Bilateral","25 (p.249)",1948-07-02,1949,1,28,1948,7,2,"Prague",1947-07-04,1947,7,4,NA,NA,NA,NA,NA
