"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"517","Agreement concerning the minor frontier traffic between the Federal People's Republic of Yugoslavia and the Italian Republic","Italy, Yugoslavia (Socialist Federal Republic of)*","3 February 1949 by signature, in accordance with article XVIII",1949-08-12,"Transport, Frontiers","Bilateral","33 (p.105)",1949-02-03,1949,8,12,1949,2,3,"Udine",1949-02-03,1949,2,3,NA,NA,NA,NA,NA
"855","Agreement for the Direct Exchange of Parcels by Parcel Post, signed at Washington, October 1, and at London, October 27, 1924","United Kingdom of Great Britain and Northern Ireland*, United States of America","22 April 1925",1925-04-22,"Postal services","Bilateral","33 (p.315)",1925-04-22,1925,4,22,1925,4,22,"Washington",1924-10-01,1924,10,1,"London",1924-10-27,1924,10,27
"514","Convention on cultural co-operation between the Federal People's Republic of Yugoslavia and the Czechoslovak Republic","Czechoslovakia, Yugoslavia (Socialist Federal Republic of)*","24 July 1947 by the exchange of the instruments of ratification, in accordance with article XVI",1949-08-12,"Cultural matters","Bilateral","33 (p.49)",1947-07-24,1949,8,12,1947,7,24,"Belgrade",1947-04-27,1947,4,27,NA,NA,NA,NA,NA
"516","Convention on cultural co-operation between the Federal People's Republic of Yugoslavia and the People's Republic of Albania","Albania, Yugoslavia (Socialist Federal Republic of)*","28 November 1947 by the exchange of the instruments of ratification, in accordance with article 16",1949-08-12,"Cultural matters","Bilateral","33 (p.91)",1947-11-28,1949,8,12,1947,11,28,"Tirana",1947-07-09,1947,7,9,NA,NA,NA,NA,NA
"515","Convention on cultural co-operation between the Federal People's Republic of Yugoslavia and the Republic of Hungary","Hungary, Yugoslavia (Socialist Federal Republic of)*","13 January 1948 by signature, in accordance with article 6",1949-08-12,"Cultural matters","Bilateral","33 (p.73)",1948-01-13,1949,8,12,1948,1,13,"Belgrade",1947-10-15,1947,10,15,NA,NA,NA,NA,NA
"521","Convention on the Privileges and Immunities of the Specialized Agencies","Albania, Algeria, Angola, Angola, Antigua and Barbuda, Argentina, Australia, Austria, Bahamas, Bahrain, Barbados, Belgium, Bosnia and Herzegovina, Botswana, Brazil, Brunei Darussalam, Bulgaria, Bulgaria, Byelorussian Soviet Socialist Republic, Cambodia, Cameroon, Central African Republic, Chile, China, China, Comoros, Croatia, Cuba, Cyprus, Czech Republic, Czechoslovakia, Czechoslovakia, Democratic Republic of the Congo, Denmark, Dominica, Ecuador, Egypt, Egypt, El Salvador, Estonia, Federal Republic of Germany, Federal Republic of Germany, Federal Republic of Germany, Federation of Malaya, Fiji, Finland, France, France, Gabon, Gambia, Georgia, German Democratic Republic, German Democratic Republic, Ghana, Greece, Guatemala, Guinea, Guyana, Haiti, Honduras, Hungary, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Italy, Ivory Coast, Jamaica, Japan, Jordan, Kenya, Kuwait, Laos, Latvia, Lesotho, Libya, Lithuania, Luxembourg, Madagascar, Malawi, Maldives, Mali, Malta, Mauritius, Mongolia, Mongolia, Mongolia, Montenegro, Morocco, Mozambique, Nepal, Netherlands, Netherlands, Netherlands, New Zealand, Nicaragua, Niger, Nigeria, None, Norway, Pakistan, Paraguay, Philippines, Poland, Poland, Portugal, Qatar, Republic of Korea, Republic of Moldova, Romania, Rwanda, Samoa, San Marino, Senegal, Seychelles, Sierra Leone, Singapore, Slovakia, Slovenia, South Africa, Spain, St. Lucia, State of Palestine, Sweden, Switzerland, Tanganyika, Thailand, The former Yugoslav Republic of Macedonia, Togo, Tonga, Trinidad and Tobago, Tunisia, Uganda, Ukrainian Soviet Socialist Republic, Union of Soviet Socialist Republics, United Arab Emirates, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United States of America, Upper Volta, Uruguay, Uruguay, Uzbekistan, Vanuatu, Yugoslavia (Federal Republic of), Yugoslavia (Socialist Federal Republic of), Zambia, Zimbabwe","2 December 1948 , in accordance with section 44",1949-08-16,"Privileges-Immunities","Multilateral","33 (p.261)",1948-12-02,1949,8,16,1948,12,2,"NewYork",1947-11-21,1947,11,21,NA,NA,NA,NA,NA
"518","Convention regarding the regime of navigation on the Danube","Austria, Bulgaria, Czechoslovakia, Hungary, Romania, Ukrainian Soviet Socialist Republic, Union of Soviet Socialist Republics, Yugoslavia (Socialist Federal Republic of)","11 May 1949 , in accordance with article 47",1949-08-12,"Watercourses-Water resources, Navigation","Multilateral","33 (p.181)",1949-05-11,1949,8,12,1949,5,11,"Belgrade",1948-08-18,1948,8,18,NA,NA,NA,NA,NA
"511","Exchange of letters constituting an agreement between the Governments of Belgium and Norway concerning the abolition of passport visas in relations between the two countries","Belgium*, Norway","18 July 1947 , in accordance with the provisions of the said letters",1949-08-11,"Passports","Bilateral","33 (p.25)",1947-07-18,1949,8,11,1947,7,18,"Oslo",1947-07-15,1947,7,15,"Oslo",1947-07-04,1947,7,4
"512","Exchange of letters constituting an agreement between the Governments of Belgium and the United States of America concerning the establishment of American cemeteries in Belgium","Belgium*, United States of America","23 July 1947 by the exchange of the said letters",1949-08-11,"War, Construction","Bilateral","33 (p.33)",1947-07-23,1949,8,11,1947,7,23,"Brussels",1947-07-23,1947,7,23,"Brussels",1947-06-06,1947,6,6
"520","Payments Agreement between Denmark and Finland","Denmark*, Finland","22 March 1949 by signature",1949-08-15,"Payments","Bilateral","33 (p.247)",1949-03-22,1949,8,15,1949,3,22,"Copenhagen",1949-03-22,1949,3,22,NA,NA,NA,NA,NA
"516","Convention on cultural co-operation between the Federal People's Republic of Yugoslavia and the People's Republic of Albania","Albania, Yugoslavia (Socialist Federal Republic of)*","28 November 1947 by the exchange of the instruments of ratification, in accordance with article 16",1949-08-12,"Cultural matters","Bilateral","33 (p.91)",1947-11-28,1949,8,12,1947,11,28,"Tirana",1947-07-09,1947,7,9,NA,NA,NA,NA,NA
"514","Convention on cultural co-operation between the Federal People's Republic of Yugoslavia and the Czechoslovak Republic","Czechoslovakia, Yugoslavia (Socialist Federal Republic of)*","24 July 1947 by the exchange of the instruments of ratification, in accordance with article XVI",1949-08-12,"Cultural matters","Bilateral","33 (p.49)",1947-07-24,1949,8,12,1947,7,24,"Belgrade",1947-04-27,1947,4,27,NA,NA,NA,NA,NA
"855","Agreement for the Direct Exchange of Parcels by Parcel Post, signed at Washington, October 1, and at London, October 27, 1924","United Kingdom of Great Britain and Northern Ireland*, United States of America","22 April 1925",1925-04-22,"Postal services","Bilateral","33 (p.315)",1925-04-22,1925,4,22,1925,4,22,"Washington",1924-10-01,1924,10,1,"London",1924-10-27,1924,10,27
"517","Agreement concerning the minor frontier traffic between the Federal People's Republic of Yugoslavia and the Italian Republic","Italy, Yugoslavia (Socialist Federal Republic of)*","3 February 1949 by signature, in accordance with article XVIII",1949-08-12,"Transport, Frontiers","Bilateral","33 (p.105)",1949-02-03,1949,8,12,1949,2,3,"Udine",1949-02-03,1949,2,3,NA,NA,NA,NA,NA
