"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"337","Agreement between Norway and Sweden respecting the transfer of members between sick funds in Norway and Sweden","Norway*, Sweden","1 January 1948 , in accordance with section 7",1948-12-23,"Insurance, Labour","Bilateral","22 (p.203)",1948-01-01,1948,12,23,1948,1,1,"Oslo",1947-12-22,1947,12,22,NA,NA,NA,NA,NA
"331","Agreement between the Government of the United States of America and the Government of India relating to air services","India, United States of America*","14 November 1946 by signature, in accordance with article XII",1948-12-23,"Transport, Aviation","Bilateral","22 (p.55)",1946-11-14,1948,12,23,1946,11,14,"NewDelhi",1946-11-14,1946,11,14,NA,NA,NA,NA,NA
"336","Agreement between the Government of the United States of America and the Italian Goverment concerning assistance to Italy under the United States foreign relief programme","Italy, United States of America*","4 July 1947 by signature, in accordance with article X",1948-12-23,"Assistance","Bilateral","22 (p.173)",1947-07-04,1948,12,23,1947,7,4,"Rome",1947-07-04,1947,7,4,NA,NA,NA,NA,NA
"334","Agreement between the United States of America and Austria relating to relief assistance to the people of Austria","Austria, United States of America*","25 June 1947 by signature, in accordance with article X",1948-12-23,"Assistance","Bilateral","22 (p.141)",1947-06-25,1948,12,23,1947,6,25,"Vienna",1947-06-25,1947,6,25,NA,NA,NA,NA,NA
"332","Air Transport Agreement between the United States of America and the Republic of China","Republic of China, United States of America*","20 December 1946 by signature, in accordance with article 13",1948-12-23,"Transport, Aviation","Bilateral","22 (p.87)",1946-12-20,1948,12,23,1946,12,20,"Nanking",1946-12-20,1946,12,20,NA,NA,NA,NA,NA
"333","Commercial Air Transport Agreement between the Government of the United States of America and the Government of the Republic of Ecuador","Ecuador, United States of America*","24 April 1947 , in accordance with article 14",1948-12-23,"Transport, Aviation","Bilateral","22 (p.119)",1947-04-24,1948,12,23,1947,4,24,"Quito",1947-01-08,1947,1,8,NA,NA,NA,NA,NA
"338","Economic Co-operation Agreement between the United States of America and Denmark","Denmark, United States of America*","2 July 1948 by notification, in accordance with article XII",1948-12-24,"Economic matters, Cooperation","Bilateral","22 (p.217)",1948-07-02,1948,12,24,1948,7,2,"Copenhagen",1948-06-29,1948,6,29,NA,NA,NA,NA,NA
"339","Economic Co-operation Agreement between the United States of America and the United Kingdom","United Kingdom of Great Britain and Northern Ireland, United States of America*","6 July 1948 by signature, in accordance with article XIII",1948-12-24,"Economic matters, Cooperation","Bilateral","22 (p.263)",1948-07-06,1948,12,24,1948,7,6,"London",1948-07-06,1948,7,6,NA,NA,NA,NA,NA
"328","Exchange of Notes between the Governments of Australia and of Austria concerning a gift of wool to Austria","Australia*, Austria","19 July 1948 by the exchange of the said notes",1948-12-21,"Commodities, Finance","Bilateral","22 (p.25)",1948-07-19,1948,12,21,1948,7,19,"London",1948-07-19,1948,7,19,"London",1948-05-31,1948,5,31
"330","Exchange of Notes between the Governments of Australia and of Denmark regarding the release of Danish assets","Australia*, Denmark","8 October 1948 by the exchange of the said notes",1948-12-21,"Claims-Debts, Property matters","Bilateral","22 (p.43)",1948-10-08,1948,12,21,1948,10,8,"Canberra",1948-10-08,1948,10,8,NA,NA,NA,NA,NA
"332","Air Transport Agreement between the United States of America and the Republic of China","Republic of China, United States of America*","20 December 1946 by signature, in accordance with article 13",1948-12-23,"Transport, Aviation","Bilateral","22 (p.87)",1946-12-20,1948,12,23,1946,12,20,"Nanking",1946-12-20,1946,12,20,NA,NA,NA,NA,NA
"334","Agreement between the United States of America and Austria relating to relief assistance to the people of Austria","Austria, United States of America*","25 June 1947 by signature, in accordance with article X",1948-12-23,"Assistance","Bilateral","22 (p.141)",1947-06-25,1948,12,23,1947,6,25,"Vienna",1947-06-25,1947,6,25,NA,NA,NA,NA,NA
"336","Agreement between the Government of the United States of America and the Italian Goverment concerning assistance to Italy under the United States foreign relief programme","Italy, United States of America*","4 July 1947 by signature, in accordance with article X",1948-12-23,"Assistance","Bilateral","22 (p.173)",1947-07-04,1948,12,23,1947,7,4,"Rome",1947-07-04,1947,7,4,NA,NA,NA,NA,NA
"331","Agreement between the Government of the United States of America and the Government of India relating to air services","India, United States of America*","14 November 1946 by signature, in accordance with article XII",1948-12-23,"Transport, Aviation","Bilateral","22 (p.55)",1946-11-14,1948,12,23,1946,11,14,"NewDelhi",1946-11-14,1946,11,14,NA,NA,NA,NA,NA
"337","Agreement between Norway and Sweden respecting the transfer of members between sick funds in Norway and Sweden","Norway*, Sweden","1 January 1948 , in accordance with section 7",1948-12-23,"Insurance, Labour","Bilateral","22 (p.203)",1948-01-01,1948,12,23,1948,1,1,"Oslo",1947-12-22,1947,12,22,NA,NA,NA,NA,NA
