"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"56","Agreement between the Government of the United Kingdom and the Government of the Netherlands regarding certain air services","Netherlands*, United Kingdom of Great Britain and Northern Ireland","13 August 1946 by signature",1947-06-12,"Transport, Aviation","Bilateral","4 (p.367)",1946-08-13,1947,6,12,1946,8,13,"London",1946-08-13,1946,8,13,NA,NA,NA,NA,NA
"41","Agreement between the Government of the United States of America and the Belgian Government relating to air services between their respective territories","Belgium, United States of America*","5 April 1946 by signature",1947-05-20,"Transport, Aviation","Bilateral","4 (p.125)",1946-04-05,1947,5,20,1946,4,5,"Brussels",1946-04-05,1946,4,5,NA,NA,NA,NA,NA
"45","Agreement between the Government of the United States of America and the Government of India on settlement for lend-lease, reciprocal aid, surplus war property, and claims","India, United States of America*","16 May 1946 by signature",1947-05-20,"War, Property matters, Military matters, Lend-lease agreements, Cooperation, Claims-Debts","Bilateral","4 (p.183)",1946-05-16,1947,5,20,1946,5,16,"Washington",1946-05-16,1946,5,16,NA,NA,NA,NA,NA
"48","Agreement between the Government of the United States of America and the Government of the Commonwealth of Australia on settlement for lend-lease, reciprocal aid, surplus war property, and claims","Australia, United States of America*","7 June 1946 by signature, in accordance with article 10",1947-05-20,"Lend-lease agreements, Claims-Debts, Military matters, Cooperation, Property matters","Bilateral","4 (p.237)",1946-06-07,1947,5,20,1946,6,7,"Washington",1946-06-07,1946,6,7,"NewYork",1946-06-07,1946,6,7
"47","Agreement between the Government of the United States of America and the Government of the United States of Venezuela relating to a military mission to Venezuela.","United States of America*, Venezuela","3 June 1946 by signature",1947-05-20,"Assistance, Military matters","Bilateral","4 (p.215)",1946-06-03,1947,5,20,1946,6,3,"Washington",1946-06-03,1946,6,3,NA,NA,NA,NA,NA
"49","Agreement between the Governments of the United States and the Republic of China on the disposition of lend-lease supplies in inventory or procurement in the United States","China, United States of America*","with retroactive effect from 2 September 1945 by signature",1947-05-20,"Lend-lease agreements, Claims-Debts, Property matters","Bilateral","4 (p.253)",1945-09-02,1947,5,20,1945,9,2,"Washington",1946-06-14,1946,6,14,NA,NA,NA,NA,NA
"40","Agreement between the United States of America and the United Kingdom of Great Britain and Northern Ireland amending the agreement of 24 August 1942, relating to the interchange of patent rights, information, inventions, designs, or processes","United Kingdom of Great Britain and Northern Ireland, United States of America*","with retroactive effect from 1 January 1942 , in accordance with article XVII",1947-05-20,"Property matters, Patents, Information, Copyright","Bilateral","4 (p.101)",1942-01-01,1947,5,20,1942,1,1,"Washington",1946-03-27,1946,3,27,NA,NA,NA,NA,NA
"102","Agreement modifying the commercial convention of February 9, 1903","Persia, United Kingdom*","",1921-04-19,"Trade","Bilateral","4 (p.47)",NA,1921,4,19,NA,NA,NA,"Tehran",1920-03-21,1920,3,21,NA,NA,NA,NA,NA
"59","Agreement on the freeing of Danish assets in Belgium and of Belgian assets in Denmark","Belgium, Denmark*","8 April 1946 by signature",1947-06-16,"Claims-Debts, Property matters","Bilateral","4 (p.429)",1946-04-08,1947,6,16,1946,4,8,"Brussels",1946-04-08,1946,4,8,NA,NA,NA,NA,NA
"60","Agreement on the freeing of Danish assets in the Grand Duchy of Luxembourg and of Luxembourg assets in Denmark","Denmark*, Luxembourg","21 May 1946 by signature",1947-06-16,"Claims-Debts, Property matters","Bilateral","4 (p.435)",1946-05-21,1947,6,16,1946,5,21,"Brussels",1946-05-21,1946,5,21,NA,NA,NA,NA,NA
